j,vdac,v1,v2,time
0,0.0,0.0979903,0.0629938,0.398895
5,0.0646555,0.137972,0.0649576,0.801971
10,0.129361,0.195981,0.093962,1.20523
15,0.194067,0.253989,0.13198,1.60791
20,0.258773,0.316983,0.169998,2.01041
25,0.323479,0.374992,0.211993,2.41293
30,0.388185,0.433957,0.252982,2.81546
35,0.45289,0.492973,0.29095,3.21799
40,0.517596,0.558988,0.33496,3.62051
45,0.582302,0.612968,0.372978,4.02304
50,0.647008,0.678983,0.411952,4.42554
55,0.711714,0.737999,0.453998,4.82806
60,0.77642,0.796964,0.49398,5.23062
65,0.841126,0.865951,0.531998,5.63315
70,0.905832,0.92698,0.577972,6.07867
75,0.970537,0.983982,0.617953,6.48175
80,1.03524,1.04798,0.653957,6.88501
85,1.09995,1.11098,0.69696,7.28757
90,1.16465,1.16899,0.737999,7.69012
95,1.22936,1.23097,0.776974,8.09268
100,1.29407,1.29598,0.816955,8.49521
105,1.35877,1.355,0.859958,8.89777
110,1.42348,1.41396,0.898983,9.30032
115,1.48818,1.47796,0.938965,9.70285
120,1.55289,1.53698,0.978997,10.1054
125,1.6176,1.59599,1.02195,10.5079
130,1.6823,1.64297,1.05997,10.9104
135,1.74706,1.717,1.09295,11.313
140,1.81171,1.76498,1.14099,11.8038
145,1.87642,1.82395,1.17296,12.2069
150,1.94112,1.88397,1.213,12.6102
155,2.00588,1.95296,1.25298,13.0127
160,2.07054,1.99798,1.29799,13.4152
165,2.13524,2.06097,1.33098,13.8177
170,2.19995,2.11797,1.37197,14.2202
175,2.2647,2.18998,1.405,14.6227
180,2.32936,2.23897,1.45797,15.0253
185,2.39407,2.29497,1.49,15.4278
190,2.45877,2.35695,1.52796,15.8303
195,2.52353,2.43898,1.568,16.2328
200,2.58818,2.48798,1.61996,16.6354
205,2.65289,2.54896,1.65098,17.0379
210,2.7176,2.61397,1.69197,17.4871
215,2.78235,2.67998,1.73195,17.8893
220,2.84701,2.67998,1.77697,18.2915
225,2.91171,2.67998,1.80899,18.6944
230,2.97642,2.67998,1.84898,19.0969
235,3.04117,2.67998,1.88699,19.4994
240,3.10583,2.67998,1.93,19.9019
245,3.17054,2.67998,1.95699,20.3045
250,3.23524,2.67998,1.98599,20.707
